instant,dteday,season,temp,hum,windspeed
1,2011-01-01,1,0.344167,0.805833,0.160446
2,2011-01-02,1,0.363478,0.696087,0.248539
3,2011-01-03,1,0.196364,0.437273,0.248309
4,2011-01-04,1,0.2,0.590435,0.160296
5,2011-01-05,1,0.226957,0.436957,0.1869
6,2011-01-06,1,0.204348,0.518261,0.0895652
7,2011-01-07,1,0.196522,0.498696,0.168726
8,2011-01-08,1,0.165,0.535833,0.266804
9,2011-01-09,1,0.138333,0.434167,0.36195
10,2011-01-10,1,0.150833,0.482917,0.223267
11,2011-01-11,1,0.169091,0.686364,0.122132
12,2011-01-12,1,0.172727,0.599545,0.304627
13,2011-01-13,1,0.165,0.470417,0.301
14,2011-01-14,1,0.16087,0.537826,0.126548
15,2011-01-15,1,0.233333,0.49875,0.157963
16,2011-01-16,1,0.231667,0.48375,0.188433
17,2011-01-17,1,0.175833,0.5375,0.194017
18,2011-01-18,1,0.216667,0.861667,0.146775
19,2011-01-19,1,0.292174,0.741739,0.208317
20,2011-01-20,1,0.261667,0.538333,0.195904
21,2011-01-21,1,0.1775,0.457083,0.353242
22,2011-01-22,1,0.0591304,0.4,0.17197
23,2011-01-23,1,0.0965217,0.436522,0.2466
24,2011-01-24,1,0.0973913,0.491739,0.15833
25,2011-01-25,1,0.223478,0.616957,0.129796
26,2011-01-26,1,0.2175,0.8625,0.29385
27,2011-01-27,1,0.195,0.6875,0.113837
28,2011-01-28,1,0.203478,0.793043,0.1233
29,2011-01-29,1,0.196522,0.651739,0.145365
30,2011-01-30,1,0.216522,0.722174,0.0739826
31,2011-01-31,1,0.180833,0.60375,0.187192
32,2011-02-01,1,0.192174,0.829565,0.053213
33,2011-02-02,1,0.26,0.775417,0.264308
34,2011-02-03,1,0.186957,0.437826,0.277752
35,2011-02-04,1,0.211304,0.585217,0.127839
36,2011-02-05,1,0.233333,0.929167,0.161079
37,2011-02-06,1,0.285833,0.568333,0.1418
38,2011-02-07,1,0.271667,0.738333,0.0454083
39,2011-02-08,1,0.220833,0.537917,0.36195
40,2011-02-09,1,0.134783,0.494783,0.188839
41,2011-02-10,1,0.144348,0.437391,0.221935
42,2011-02-11,1,0.189091,0.506364,0.10855
43,2011-02-12,1,0.2225,0.544167,0.203367
44,2011-02-13,1,0.316522,0.457391,0.260883
45,2011-02-14,1,0.415,0.375833,0.417908
46,2011-02-15,1,0.266087,0.314348,0.291374
47,2011-02-16,1,0.318261,0.423478,0.251791
48,2011-02-17,1,0.435833,0.505,0.230104
49,2011-02-18,1,0.521667,0.516667,0.264925
50,2011-02-19,1,0.399167,0.187917,0.507463
51,2011-02-20,1,0.285217,0.407826,0.223235
52,2011-02-21,1,0.303333,0.605,0.307846
53,2011-02-22,1,0.182222,0.577778,0.195683
54,2011-02-23,1,0.221739,0.423043,0.094113
55,2011-02-24,1,0.295652,0.697391,0.250496
56,2011-02-25,1,0.364348,0.712174,0.346539
57,2011-02-26,1,0.2825,0.537917,0.186571
58,2011-02-27,1,0.343478,0.68,0.125248
59,2011-02-28,1,0.407273,0.876364,0.289686
60,2011-03-01,1,0.266667,0.535,0.216425
61,2011-03-02,1,0.335,0.449583,0.307833
62,2011-03-03,1,0.198333,0.318333,0.225754
63,2011-03-04,1,0.261667,0.610417,0.203346
64,2011-03-05,1,0.384167,0.789167,0.251871
65,2011-03-06,1,0.376522,0.948261,0.343287
66,2011-03-07,1,0.261739,0.551304,0.341352
67,2011-03-08,1,0.2925,0.420833,0.12065
68,2011-03-09,1,0.295833,0.775417,0.22015
69,2011-03-10,1,0.389091,0.0,0.261877
70,2011-03-11,1,0.316522,0.649565,0.23297
71,2011-03-12,1,0.329167,0.594583,0.220775
72,2011-03-13,1,0.384348,0.527391,0.270604
73,2011-03-14,1,0.325217,0.496957,0.136926
74,2011-03-15,1,0.317391,0.655652,0.184309
75,2011-03-16,1,0.365217,0.776522,0.203117
76,2011-03-17,1,0.415,0.602917,0.209579
77,2011-03-18,1,0.54,0.525217,0.231017
78,2011-03-19,1,0.4725,0.379167,0.368167
79,2011-03-20,1,0.3325,0.47375,0.207721
80,2011-03-21,2,0.430435,0.737391,0.288783
81,2011-03-22,2,0.441667,0.624583,0.22575
82,2011-03-23,2,0.346957,0.839565,0.234261
83,2011-03-24,2,0.285,0.805833,0.243787
84,2011-03-25,2,0.264167,0.495,0.230725
85,2011-03-26,2,0.265833,0.394167,0.209571
86,2011-03-27,2,0.253043,0.493913,0.1843
87,2011-03-28,2,0.264348,0.302174,0.212204
88,2011-03-29,2,0.3025,0.314167,0.226996
89,2011-03-30,2,0.3,0.646667,0.172888
90,2011-03-31,2,0.268333,0.918333,0.217646
91,2011-04-01,2,0.3,0.68625,0.258708
92,2011-04-02,2,0.315,0.65375,0.197146
93,2011-04-03,2,0.378333,0.48,0.182213
94,2011-04-04,2,0.573333,0.42625,0.385571
95,2011-04-05,2,0.414167,0.642083,0.388067
96,2011-04-06,2,0.390833,0.470833,0.263063
97,2011-04-07,2,0.4375,0.602917,0.162312
98,2011-04-08,2,0.335833,0.83625,0.226992
99,2011-04-09,2,0.3425,0.8775,0.133083
100,2011-04-10,2,0.426667,0.8575,0.146767
101,2011-04-11,2,0.595652,0.716956,0.324474
102,2011-04-12,2,0.5025,0.739167,0.274879
103,2011-04-13,2,0.4125,0.819167,0.250617
104,2011-04-14,2,0.4675,0.540417,0.1107
105,2011-04-15,2,0.446667,0.67125,0.226375
106,2011-04-16,2,0.430833,0.888333,0.340808
107,2011-04-17,2,0.456667,0.479583,0.303496
108,2011-04-18,2,0.5125,0.5425,0.163567
109,2011-04-19,2,0.505833,0.665833,0.157971
110,2011-04-20,2,0.595,0.614167,0.241925
111,2011-04-21,2,0.459167,0.407083,0.325258
112,2011-04-22,2,0.336667,0.729583,0.219521
113,2011-04-23,2,0.46,0.887917,0.230725
114,2011-04-24,2,0.581667,0.810833,0.192175
115,2011-04-25,2,0.606667,0.776667,0.185333
116,2011-04-26,2,0.631667,0.729167,0.3265
117,2011-04-27,2,0.62,0.835417,0.3122
118,2011-04-28,2,0.6175,0.700833,0.320908
119,2011-04-29,2,0.51,0.457083,0.240063
120,2011-04-30,2,0.4725,0.503333,0.235075
121,2011-05-01,2,0.451667,0.762083,0.106354
122,2011-05-02,2,0.549167,0.73,0.183454
123,2011-05-03,2,0.616667,0.697083,0.342667
124,2011-05-04,2,0.414167,0.737083,0.328996
125,2011-05-05,2,0.459167,0.444167,0.295392
126,2011-05-06,2,0.479167,0.59,0.228246
127,2011-05-07,2,0.52,0.54125,0.16045
128,2011-05-08,2,0.528333,0.631667,0.0746375
129,2011-05-09,2,0.5325,0.58875,0.176
130,2011-05-10,2,0.5325,0.489167,0.115671
131,2011-05-11,2,0.5425,0.632917,0.120642
132,2011-05-12,2,0.535,0.7475,0.189667
133,2011-05-13,2,0.5125,0.863333,0.179725
134,2011-05-14,2,0.520833,0.9225,0.13495
135,2011-05-15,2,0.5625,0.867083,0.152979
136,2011-05-16,2,0.5775,0.787917,0.126871
137,2011-05-17,2,0.561667,0.837917,0.277354
138,2011-05-18,2,0.55,0.87,0.201492
139,2011-05-19,2,0.530833,0.829583,0.108213
140,2011-05-20,2,0.536667,0.719583,0.125013
141,2011-05-21,2,0.6025,0.626667,0.12065
142,2011-05-22,2,0.604167,0.749583,0.148008
143,2011-05-23,2,0.631667,0.81,0.233842
144,2011-05-24,2,0.66,0.740833,0.207092
145,2011-05-25,2,0.660833,0.69625,0.154233
146,2011-05-26,2,0.708333,0.6775,0.199642
147,2011-05-27,2,0.681667,0.65375,0.240679
148,2011-05-28,2,0.655833,0.729583,0.230092
149,2011-05-29,2,0.6675,0.81875,0.213938
150,2011-05-30,2,0.733333,0.685,0.131225
151,2011-05-31,2,0.775,0.636667,0.111329
152,2011-06-01,2,0.764167,0.677083,0.207092
153,2011-06-02,2,0.715,0.305,0.292287
154,2011-06-03,2,0.62,0.354167,0.253121
155,2011-06-04,2,0.635,0.45625,0.123142
156,2011-06-05,2,0.648333,0.6525,0.138692
157,2011-06-06,2,0.678333,0.6,0.121896
158,2011-06-07,2,0.7075,0.597917,0.187808
159,2011-06-08,2,0.775833,0.622083,0.136817
160,2011-06-09,2,0.808333,0.568333,0.149883
161,2011-06-10,2,0.755,0.605,0.140554
162,2011-06-11,2,0.725,0.654583,0.15485
163,2011-06-12,2,0.6925,0.747917,0.163567
164,2011-06-13,2,0.635,0.494583,0.30535
165,2011-06-14,2,0.604167,0.507083,0.269283
166,2011-06-15,2,0.626667,0.471667,0.167912
167,2011-06-16,2,0.628333,0.688333,0.206471
168,2011-06-17,2,0.649167,0.735833,0.143029
169,2011-06-18,2,0.696667,0.670417,0.119408
170,2011-06-19,2,0.699167,0.666667,0.102
171,2011-06-20,2,0.635,0.74625,0.155475
172,2011-06-21,3,0.680833,0.770417,0.171025
173,2011-06-22,3,0.733333,0.7075,0.172262
174,2011-06-23,3,0.728333,0.703333,0.238804
175,2011-06-24,3,0.724167,0.573333,0.222025
176,2011-06-25,3,0.695,0.483333,0.209571
177,2011-06-26,3,0.68,0.513333,0.0945333
178,2011-06-27,3,0.6825,0.658333,0.107588
179,2011-06-28,3,0.744167,0.634167,0.144283
180,2011-06-29,3,0.728333,0.497917,0.261821
181,2011-06-30,3,0.696667,0.434167,0.185312
182,2011-07-01,3,0.7225,0.39625,0.102608
183,2011-07-02,3,0.738333,0.444583,0.115062
184,2011-07-03,3,0.716667,0.6825,0.228858
185,2011-07-04,3,0.726667,0.637917,0.0814792
186,2011-07-05,3,0.746667,0.590417,0.126258
187,2011-07-06,3,0.72,0.743333,0.149883
188,2011-07-07,3,0.75,0.65125,0.1592
189,2011-07-08,3,0.709167,0.757917,0.225129
190,2011-07-09,3,0.733333,0.609167,0.167912
191,2011-07-10,3,0.7475,0.578333,0.183471
192,2011-07-11,3,0.7625,0.635833,0.282337
193,2011-07-12,3,0.794167,0.559167,0.200254
194,2011-07-13,3,0.746667,0.631667,0.146133
195,2011-07-14,3,0.680833,0.47625,0.240667
196,2011-07-15,3,0.663333,0.59125,0.182833
197,2011-07-16,3,0.686667,0.585,0.208342
198,2011-07-17,3,0.719167,0.604167,0.245033
199,2011-07-18,3,0.746667,0.65125,0.215804
200,2011-07-19,3,0.776667,0.650417,0.1306
201,2011-07-20,3,0.768333,0.707083,0.113817
202,2011-07-21,3,0.815,0.69125,0.222021
203,2011-07-22,3,0.848333,0.580417,0.1331
204,2011-07-23,3,0.849167,0.5,0.131221
205,2011-07-24,3,0.83,0.550833,0.169171
206,2011-07-25,3,0.743333,0.757083,0.0908083
207,2011-07-26,3,0.771667,0.540833,0.200258
208,2011-07-27,3,0.775,0.402917,0.183463
209,2011-07-28,3,0.779167,0.583333,0.178479
210,2011-07-29,3,0.838333,0.5425,0.174138
211,2011-07-30,3,0.804167,0.465833,0.168537
212,2011-07-31,3,0.805833,0.480833,0.164813
213,2011-08-01,3,0.771667,0.550833,0.156717
214,2011-08-02,3,0.783333,0.49125,0.20585
215,2011-08-03,3,0.731667,0.6575,0.135583
216,2011-08-04,3,0.71,0.7575,0.19715
217,2011-08-05,3,0.710833,0.630833,0.184696
218,2011-08-06,3,0.716667,0.755,0.22825
219,2011-08-07,3,0.7425,0.752917,0.201487
220,2011-08-08,3,0.765,0.592083,0.192175
221,2011-08-09,3,0.775,0.570417,0.151121
222,2011-08-10,3,0.766667,0.424167,0.200258
223,2011-08-11,3,0.7175,0.42375,0.164796
224,2011-08-12,3,0.708333,0.415,0.125621
225,2011-08-13,3,0.685833,0.729583,0.211454
226,2011-08-14,3,0.676667,0.8175,0.222633
227,2011-08-15,3,0.665833,0.712083,0.208954
228,2011-08-16,3,0.700833,0.578333,0.236329
229,2011-08-17,3,0.723333,0.575417,0.143667
230,2011-08-18,3,0.711667,0.654583,0.233208
231,2011-08-19,3,0.685,0.722917,0.139308
232,2011-08-20,3,0.6975,0.674167,0.104467
233,2011-08-21,3,0.710833,0.77,0.248754
234,2011-08-22,3,0.691667,0.47,0.27675
235,2011-08-23,3,0.640833,0.455417,0.146763
236,2011-08-24,3,0.673333,0.605,0.253108
237,2011-08-25,3,0.684167,0.771667,0.210833
238,2011-08-26,3,0.7,0.76125,0.0839625
239,2011-08-27,3,0.68,0.85,0.375617
240,2011-08-28,3,0.707059,0.561765,0.304659
241,2011-08-29,3,0.636667,0.554583,0.159825
242,2011-08-30,3,0.639167,0.548333,0.125008
243,2011-08-31,3,0.656667,0.597917,0.0833333
244,2011-09-01,3,0.655,0.639167,0.141796
245,2011-09-02,3,0.643333,0.727083,0.139929
246,2011-09-03,3,0.669167,0.716667,0.185325
247,2011-09-04,3,0.709167,0.742083,0.206467
248,2011-09-05,3,0.673333,0.790417,0.212696
249,2011-09-06,3,0.54,0.886957,0.343943
250,2011-09-07,3,0.599167,0.917083,0.0970208
251,2011-09-08,3,0.633913,0.939565,0.192748
252,2011-09-09,3,0.65,0.897917,0.124379
253,2011-09-10,3,0.66,0.75375,0.153608
254,2011-09-11,3,0.653333,0.71375,0.115054
255,2011-09-12,3,0.644348,0.692174,0.088913
256,2011-09-13,3,0.650833,0.7125,0.141804
257,2011-09-14,3,0.673333,0.697083,0.1673
258,2011-09-15,3,0.5775,0.709167,0.271146
259,2011-09-16,3,0.469167,0.590417,0.164183
260,2011-09-17,3,0.491667,0.718333,0.189675
261,2011-09-18,3,0.5075,0.695,0.178483
262,2011-09-19,3,0.549167,0.69,0.151742
263,2011-09-20,3,0.561667,0.88125,0.134954
264,2011-09-21,3,0.595,0.9,0.0964042
265,2011-09-22,3,0.628333,0.902083,0.128125
266,2011-09-23,4,0.609167,0.9725,0.0783667
267,2011-09-24,4,0.606667,0.8625,0.0783833
268,2011-09-25,4,0.634167,0.845,0.0503792
269,2011-09-26,4,0.649167,0.848333,0.1107
270,2011-09-27,4,0.636667,0.885417,0.118171
271,2011-09-28,4,0.635,0.84875,0.148629
272,2011-09-29,4,0.616667,0.699167,0.172883
273,2011-09-30,4,0.564167,0.6475,0.206475
274,2011-10-01,4,0.41,0.75375,0.292296
275,2011-10-02,4,0.356667,0.791667,0.222013
276,2011-10-03,4,0.384167,0.760833,0.0833458
277,2011-10-04,4,0.484167,0.71,0.205854
278,2011-10-05,4,0.538333,0.647917,0.17725
279,2011-10-06,4,0.494167,0.620833,0.134954
280,2011-10-07,4,0.510833,0.684167,0.0223917
281,2011-10-08,4,0.521667,0.70125,0.0454042
282,2011-10-09,4,0.540833,0.7275,0.06345
283,2011-10-10,4,0.570833,0.73375,0.0423042
284,2011-10-11,4,0.566667,0.80875,0.143042
285,2011-10-12,4,0.543333,0.90625,0.24815
286,2011-10-13,4,0.589167,0.896667,0.141787
